"","all_trips_v2$member.casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",12.4366197183099
"2","member","Sunday",164.936447166922
"3","casual","Monday",10.2329545454545
"4","member","Monday",75.4325925925926
"5","casual","Tuesday",11.2764976958525
"6","member","Tuesday",85.847129506008
"7","casual","Wednesday",11.8212560386473
"8","member","Wednesday",22.5837455830389
"9","casual","Thursday",17.9606986899563
"10","member","Thursday",34.6597510373444
"11","casual","Friday",389.166666666667
"12","member","Friday",140.910899653979
"13","casual","Saturday",12.2131147540984
"14","member","Saturday",106.290734824281
